shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
10195,45.441635,-75.728215,90001
10195,45.441543,-75.728229,90002
10195,45.441155,-75.728377,90003
10195,45.440561,-75.728318,90004
10195,45.440426,-75.728265,90005
10195,45.440085,-75.728223,90006
10195,45.439760,-75.728257,90007
10195,45.438724,-75.728397,90008
10195,45.438166,-75.728479,90009
10195,45.437589,-75.728561,90010
10195,45.436589,-75.728715,90011
10195,45.434616,-75.728996,90012
10195,45.434544,-75.729008,90013
10195,45.431868,-75.729408,90014
10195,45.431309,-75.729468,90015
10195,45.431309,-75.729468,100001
10195,45.431219,-75.729477,100002
10195,45.431176,-75.729418,100003
10195,45.431176,-75.729418,110001
10195,45.431112,-75.729335,110002
10195,45.430843,-75.729242,110003
10195,45.430528,-75.729161,110004
10195,45.430492,-75.729148,110005
10195,45.430492,-75.729148,120001
10195,45.430492,-75.729148,120002
10195,45.430439,-75.729070,120003
10195,45.430412,-75.729044,120004
10195,45.430394,-75.728993,120005
10195,45.430386,-75.728942,120006
10195,45.430377,-75.728878,120007
10195,45.430378,-75.728763,120008
10195,45.430387,-75.728699,120009
10195,45.430405,-75.728661,120010
10195,45.430424,-75.728623,120011
10195,45.430478,-75.728534,120012
10195,45.430505,-75.728521,120013
10195,45.430541,-75.728496,120014
10195,45.430649,-75.728498,120015
10195,45.430685,-75.728511,120016
10195,45.430721,-75.728537,120017
10195,45.430748,-75.728563,120018
10195,45.430775,-75.728589,120019
10195,45.430998,-75.728924,120020
10195,45.431096,-75.729040,120021
10195,45.431150,-75.729079,120022
10195,45.431195,-75.729106,120023
10195,45.431240,-75.729132,120024
10195,45.431293,-75.729145,120025
10195,45.431347,-75.729146,120026
10195,45.431393,-75.729134,120027
10195,45.431447,-75.729096,120028
10195,45.431492,-75.729084,120029
10195,45.431537,-75.729046,120030
10195,45.431672,-75.729022,120031
10195,45.431726,-75.728997,120032
10195,45.431799,-75.728960,120033
10195,45.431826,-75.728947,120034
10195,45.431871,-75.728897,120035
10195,45.431917,-75.728834,120036
10195,45.431944,-75.728796,120037
10195,45.431971,-75.728732,120038
10195,45.431990,-75.728656,120039
10195,45.432147,-75.727980,120040
10195,45.432172,-75.726945,120041
10195,45.432192,-75.726065,120042
10195,45.432192,-75.726065,130001
10195,45.432196,-75.725858,130002
10195,45.432228,-75.725092,130003
10195,45.432265,-75.723596,130004
10195,45.432247,-75.722139,130005
10195,45.432248,-75.722037,130006
10195,45.432231,-75.721883,130007
10195,45.432234,-75.721629,130008
10195,45.432234,-75.721629,140001
10195,45.432249,-75.720438,140002
10195,45.432332,-75.718726,140003
10195,45.432411,-75.717551,140004
10195,45.432452,-75.716746,140005
10195,45.432535,-75.715610,140006
10195,45.432535,-75.715610,150001
10195,45.432560,-75.715265,150002
10195,45.432484,-75.714446,150003
10195,45.432451,-75.714010,150004
10195,45.432427,-75.713614,150005
10195,45.432359,-75.712910,150006
10195,45.432086,-75.712955,150007
10195,45.432086,-75.712955,160001
10195,45.431152,-75.713112,160002
