route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,wheelchair_accessible
257-1048,_16PR2-H01M016A-Samedi-01,32797276-_16PR2-H01M016A-Samedi-01,"P-O-B RIVERMEAD via TERRASSES CHAUDIÈRE",1,4449955,2570119,1
257-1048,_16PR2-H01M016A-Samedi-01,32797277-_16PR2-H01M016A-Samedi-01,"STATION LA CITÉ via TERRASSES CHAUDIÈRE",0,4449902,2570120,0
257-1048,_16PR2-H01M016A-Samedi-01,32797278-_16PR2-H01M016A-Samedi-01,"P-O-B RIVERMEAD via TERRASSES CHAUDIÈRE",1,4449902,2570119,0
53-1048,_16PR2-H01M016A-Samedi-01,32797279-_16PR2-H01M016A-Samedi-01,"Gamelin/Émond",0,4449955,530083,1
265-1048,_16PR2-H01M016A-Samedi-01,32797280-_16PR2-H01M016A-Samedi-01,"Station La Cité via E.-Gaboury",0,4449908,2650129,1
257-1048,_16PR2-H01M016A-Samedi-01,32797281-_16PR2-H01M016A-Samedi-01,"STATION LA CITÉ via TERRASSES CHAUDIÈRE",0,4449822,2570120,0
75-1048,_16PR2-H01M016A-Samedi-01,32797282-_16PR2-H01M016A-Samedi-01,"Lorrain/La Vérendrye via Notre-Dame",0,4449822,750002,0
75-1048,_16PR2-H01M016A-Samedi-01,32797283-_16PR2-H01M016A-Samedi-01,"Station La Cité via Notre-Dame",1,4449822,750001,0
271-1048,_16PR2-H01M016A-Samedi-01,32797284-_16PR2-H01M016A-Samedi-01,"STATION LABROSSE via DAVIDSON",0,4449822,2710066,0
297-1048,_16PR2-H01M016A-Samedi-01,32797285-_16PR2-H01M016A-Samedi-01,"MASSON via MALONEY/ANGERS/BUCKINGHAM",0,4449822,2970048,0
297-1048,_16PR2-H01M016A-Samedi-01,32797286-_16PR2-H01M016A-Samedi-01,"STATION LABROSSE via BUCKINGHAM/ANGERS/MALONEY",1,4449822,2970049,0
278-1048,_16PR2-H01M016A-Samedi-01,32797287-_16PR2-H01M016A-Samedi-01,"Cheval-Blanc via Ste-Rose",0,4449822,2780040,0
277-1048,_16PR2-H01M016A-Samedi-01,32797288-_16PR2-H01M016A-Samedi-01,"Station Labrosse via St-René",1,4449822,2770109,0
271-1048,_16PR2-H01M016A-Samedi-01,32797289-_16PR2-H01M016A-Samedi-01,"Station La Cité via Davidson",1,4449822,2710052,0
75-1048,_16PR2-H01M016A-Samedi-01,32797290-_16PR2-H01M016A-Samedi-01,"Lorrain/La Vérendrye via Notre-Dame",0,4449822,750002,0
75-1048,_16PR2-H01M016A-Samedi-01,32797291-_16PR2-H01M016A-Samedi-01,"Station La Cité via Notre-Dame",1,4449822,750001,0
53-1048,_16PR2-H01M016A-Samedi-01,32797292-_16PR2-H01M016A-Samedi-01,"Rivermead",1,4449822,530073,0
39-1048,_16PR2-H01M016A-Samedi-01,32797293-_16PR2-H01M016A-Samedi-01,"PLATEAU/OTTAWA via PORTAGE",1,4449931,390503,1
4-1048,_16PR2-H01M016A-Samedi-01,32797294-_16PR2-H01M016A-Samedi-01,"Station Labrosse via Rapibus",0,4449940,40117,1
4-1048,_16PR2-H01M016A-Samedi-01,32797295-_16PR2-H01M016A-Samedi-01,"OTTAWA via TERRASSES CHAUDIÈRE",1,4449936,40119,1
4-1048,_16PR2-H01M016A-Samedi-01,32797296-_16PR2-H01M016A-Samedi-01,"Station Labrosse via Rapibus",0,4449936,40117,1
4-1048,_16PR2-H01M016A-Samedi-01,32797297-_16PR2-H01M016A-Samedi-01,"OTTAWA via TERRASSES CHAUDIÈRE",1,4449958,40119,1
4-1048,_16PR2-H01M016A-Samedi-01,32797298-_16PR2-H01M016A-Samedi-01,"Station Labrosse via Rapibus",0,4449958,40117,1
4-1048,_16PR2-H01M016A-Samedi-01,32797299-_16PR2-H01M016A-Samedi-01,"OTTAWA via TERRASSES CHAUDIÈRE",1,4449974,40119,1
39-1048,_16PR2-H01M016A-Samedi-01,32797300-_16PR2-H01M016A-Samedi-01,"FREEMAN via PLATEAU",0,4449967,390496,0
4-1048,_16PR2-H01M016A-Samedi-01,32797301-_16PR2-H01M016A-Samedi-01,"OTTAWA via TERRASSES CHAUDIÈRE",1,4449940,40119,1
4-1048,_16PR2-H01M016A-Samedi-01,32797302-_16PR2-H01M016A-Samedi-01,"OTTAWA via TERRASSES CHAUDIÈRE",1,4449937,40119,1
39-1048,_16PR2-H01M016A-Samedi-01,32797303-_16PR2-H01M016A-Samedi-01,"Freeman via Plateau",0,4449954,390496,1
4-1048,_16PR2-H01M016A-Samedi-01,32797304-_16PR2-H01M016A-Samedi-01,"Station Labrosse via Rapibus",0,4449900,40117,1
75-1048,_16PR2-H01M016A-Samedi-01,32797305-_16PR2-H01M016A-Samedi-01,"Station La Cité via Notre-Dame",1,4449873,750001,1
276-1048,_16PR2-H01M016A-Samedi-01,32797306-_16PR2-H01M016A-Samedi-01,"Station Labrosse via La Vérendrye",0,4449873,2760038,1
297-1048,_16PR2-H01M016A-Samedi-01,32797307-_16PR2-H01M016A-Samedi-01,"MASSON via MALONEY/ANGERS/BUCKINGHAM",0,4449873,2970048,1
297-1048,_16PR2-H01M016A-Samedi-01,32797308-_16PR2-H01M016A-Samedi-01,"STATION LABROSSE via BUCKINGHAM/ANGERS/MALONEY",1,4449873,2970049,1
278-1048,_16PR2-H01M016A-Samedi-01,32797309-_16PR2-H01M016A-Samedi-01,"Cheval-Blanc via Ste-Rose",0,4449873,2780040,1
277-1048,_16PR2-H01M016A-Samedi-01,32797310-_16PR2-H01M016A-Samedi-01,"Station Labrosse via St-René",1,4449873,2770109,1
276-1048,_16PR2-H01M016A-Samedi-01,32797311-_16PR2-H01M016A-Samedi-01,"Station Labrosse via La Vérendrye",0,4449950,2760038,1
277-1048,_16PR2-H01M016A-Samedi-01,32797312-_16PR2-H01M016A-Samedi-01,"CHEVAL-BLANC via ST-RENÉ",0,4449950,2770108,1
278-1048,_16PR2-H01M016A-Samedi-01,32797313-_16PR2-H01M016A-Samedi-01,"Station Labrosse via Ste-Rose",1,4449950,2780039,1
276-1048,_16PR2-H01M016A-Samedi-01,32797314-_16PR2-H01M016A-Samedi-01,"Station La Cité via La Vérendrye",1,4449950,2760039,1
257-1048,_16PR2-H01M016A-Samedi-01,32797315-_16PR2-H01M016A-Samedi-01,"P-O-B RIVERMEAD via TERRASSES CHAUDIÈRE",1,4449950,2570119,1
75-1048,_16PR2-H01M016A-Samedi-01,32797316-_16PR2-H01M016A-Samedi-01,"Lorrain/La Vérendrye via Notre-Dame",0,4449873,750002,1
277-1048,_16PR2-H01M016A-Samedi-01,32797317-_16PR2-H01M016A-Samedi-01,"Station Labrosse via St-René",1,4449897,2770109,1
271-1048,_16PR2-H01M016A-Samedi-01,32797318-_16PR2-H01M016A-Samedi-01,"Station La Cité via Davidson",1,4449897,2710052,1
271-1048,_16PR2-H01M016A-Samedi-01,32797319-_16PR2-H01M016A-Samedi-01,"STATION LABROSSE via DAVIDSON",0,4449899,2710066,0
297-1048,_16PR2-H01M016A-Samedi-01,32797320-_16PR2-H01M016A-Samedi-01,"MASSON via MALONEY/ANGERS/BUCKINGHAM",0,4449899,2970048,0
297-1048,_16PR2-H01M016A-Samedi-01,32797321-_16PR2-H01M016A-Samedi-01,"STATION LABROSSE via BUCKINGHAM/ANGERS/MALONEY",1,4449899,2970049,0
278-1048,_16PR2-H01M016A-Samedi-01,32797322-_16PR2-H01M016A-Samedi-01,"Cheval-Blanc via Ste-Rose",0,4449899,2780040,0
277-1048,_16PR2-H01M016A-Samedi-01,32797323-_16PR2-H01M016A-Samedi-01,"Station Labrosse via St-René",1,4449899,2770109,0
297-1048,_16PR2-H01M016A-Samedi-01,32797324-_16PR2-H01M016A-Samedi-01,"MASSON via MALONEY/ANGERS/BUCKINGHAM",0,4449957,2970048,0
297-1048,_16PR2-H01M016A-Samedi-01,32797325-_16PR2-H01M016A-Samedi-01,"STATION LABROSSE via BUCKINGHAM/ANGERS/MALONEY",1,4449957,2970049,0
278-1048,_16PR2-H01M016A-Samedi-01,32797326-_16PR2-H01M016A-Samedi-01,"Cheval-Blanc via Ste-Rose",0,4449897,2780040,1
278-1048,_16PR2-H01M016A-Samedi-01,32797327-_16PR2-H01M016A-Samedi-01,"Cheval-Blanc via Ste-Rose",0,4449852,2780040,0
277-1048,_16PR2-H01M016A-Samedi-01,32797328-_16PR2-H01M016A-Samedi-01,"Station Labrosse via St-René",1,4449852,2770109,0
271-1048,_16PR2-H01M016A-Samedi-01,32797329-_16PR2-H01M016A-Samedi-01,"Station La Cité via Davidson",1,4449852,2710052,0
75-1048,_16PR2-H01M016A-Samedi-01,32797330-_16PR2-H01M016A-Samedi-01,"Lorrain/La Vérendrye via Notre-Dame",0,4449842,750002,1
75-1048,_16PR2-H01M016A-Samedi-01,32797331-_16PR2-H01M016A-Samedi-01,"Station La Cité via Notre-Dame",1,4449842,750001,1
271-1048,_16PR2-H01M016A-Samedi-01,32797332-_16PR2-H01M016A-Samedi-01,"STATION LABROSSE via DAVIDSON",0,4449898,2710066,1
297-1048,_16PR2-H01M016A-Samedi-01,32797333-_16PR2-H01M016A-Samedi-01,"MASSON via MALONEY/ANGERS/BUCKINGHAM",0,4449898,2970048,1
297-1048,_16PR2-H01M016A-Samedi-01,32797334-_16PR2-H01M016A-Samedi-01,"STATION LABROSSE via BUCKINGHAM/ANGERS/MALONEY",1,4449898,2970049,1
278-1048,_16PR2-H01M016A-Samedi-01,32797335-_16PR2-H01M016A-Samedi-01,"Cheval-Blanc via Ste-Rose",0,4449898,2780040,1
277-1048,_16PR2-H01M016A-Samedi-01,32797336-_16PR2-H01M016A-Samedi-01,"Station Labrosse via St-René",1,4449898,2770109,1
297-1048,_16PR2-H01M016A-Samedi-01,32797337-_16PR2-H01M016A-Samedi-01,"STATION LABROSSE via BUCKINGHAM/ANGERS/MALONEY",1,4449852,2970049,0
4-1048,_16PR2-H01M016A-Samedi-01,32797338-_16PR2-H01M016A-Samedi-01,"OTTAWA via TERRASSES CHAUDIÈRE",1,4449903,40119,1
4-1048,_16PR2-H01M016A-Samedi-01,32797339-_16PR2-H01M016A-Samedi-01,"Station Labrosse via Rapibus",0,4449903,40117,1
4-1048,_16PR2-H01M016A-Samedi-01,32797340-_16PR2-H01M016A-Samedi-01,"OTTAWA via TERRASSES CHAUDIÈRE",1,4449870,40119,1
4-1048,_16PR2-H01M016A-Samedi-01,32797341-_16PR2-H01M016A-Samedi-01,"Station Labrosse via Rapibus",0,4449940,40117,1
297-1048,_16PR2-H01M016A-Samedi-01,32797342-_16PR2-H01M016A-Samedi-01,"MASSON via MALONEY/ANGERS/BUCKINGHAM",0,4449951,2970048,0
297-1048,_16PR2-H01M016A-Samedi-01,32797343-_16PR2-H01M016A-Samedi-01,"STATION LABROSSE via BUCKINGHAM/ANGERS/MALONEY",1,4449951,2970049,0
4-1048,_16PR2-H01M016A-Samedi-01,32797344-_16PR2-H01M016A-Samedi-01,"Station Labrosse via Rapibus",0,4449876,40117,1
271-1048,_16PR2-H01M016A-Samedi-01,32797345-_16PR2-H01M016A-Samedi-01,"STATION LABROSSE via DAVIDSON",0,4449832,2710066,0
297-1048,_16PR2-H01M016A-Samedi-01,32797346-_16PR2-H01M016A-Samedi-01,"MASSON via MALONEY/ANGERS/BUCKINGHAM",0,4449832,2970048,0
297-1048,_16PR2-H01M016A-Samedi-01,32797347-_16PR2-H01M016A-Samedi-01,"STATION LABROSSE via BUCKINGHAM/ANGERS/MALONEY",1,4449832,2970049,0
278-1048,_16PR2-H01M016A-Samedi-01,32797348-_16PR2-H01M016A-Samedi-01,"Cheval-Blanc via Ste-Rose",0,4449832,2780040,0
277-1048,_16PR2-H01M016A-Samedi-01,32797349-_16PR2-H01M016A-Samedi-01,"Station Labrosse via St-René",1,4449832,2770109,0
297-1048,_16PR2-H01M016A-Samedi-01,32797350-_16PR2-H01M016A-Samedi-01,"MASSON via MALONEY/ANGERS/BUCKINGHAM",0,4449837,2970048,1
297-1048,_16PR2-H01M016A-Samedi-01,32797351-_16PR2-H01M016A-Samedi-01,"STATION LABROSSE via BUCKINGHAM/ANGERS/MALONEY",1,4449837,2970049,1
278-1048,_16PR2-H01M016A-Samedi-01,32797352-_16PR2-H01M016A-Samedi-01,"Cheval-Blanc via Ste-Rose",0,4449837,2780040,1
277-1048,_16PR2-H01M016A-Samedi-01,32797353-_16PR2-H01M016A-Samedi-01,"Station Labrosse via St-René",1,4449837,2770109,1
271-1048,_16PR2-H01M016A-Samedi-01,32797354-_16PR2-H01M016A-Samedi-01,"Station La Cité via Davidson",1,4449832,2710052,0
297-1048,_16PR2-H01M016A-Samedi-01,32797355-_16PR2-H01M016A-Samedi-01,"STATION LABROSSE via BUCKINGHAM/ANGERS/MALONEY",1,4449922,2970049,1
278-1048,_16PR2-H01M016A-Samedi-01,32797356-_16PR2-H01M016A-Samedi-01,"Cheval-Blanc via Ste-Rose",0,4449922,2780040,1
277-1048,_16PR2-H01M016A-Samedi-01,32797357-_16PR2-H01M016A-Samedi-01,"Station Labrosse via St-René",1,4449922,2770109,1
297-1048,_16PR2-H01M016A-Samedi-01,32797358-_16PR2-H01M016A-Samedi-01,"MASSON via MALONEY/ANGERS/BUCKINGHAM",0,4449922,2970048,1
75-1048,_16PR2-H01M016A-Samedi-01,32797359-_16PR2-H01M016A-Samedi-01,"Station La Cité via Notre-Dame",1,4449930,750001,1
263-1048,_16PR2-H01M016A-Samedi-01,32797360-_16PR2-H01M016A-Samedi-01,"Station La Gappe via Promenades",1,4449930,2630050,1
266-1048,_16PR2-H01M016A-Samedi-01,32797361-_16PR2-H01M016A-Samedi-01,"Aréna Beaudry via Du Barry/Mont-Luc",0,4449957,2660044,0
264-1048,_16PR2-H01M016A-Samedi-01,32797362-_16PR2-H01M016A-Samedi-01,"Station La Gappe via Cannes",1,4449957,2640076,0
265-1048,_16PR2-H01M016A-Samedi-01,32797363-_16PR2-H01M016A-Samedi-01,"Station La Cité via E.-Gaboury",0,4449957,2650129,0
276-1048,_16PR2-H01M016A-Samedi-01,32797364-_16PR2-H01M016A-Samedi-01,"Station Labrosse via La Vérendrye",0,4449957,2760038,0
